================ FRAME 0 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31(A)      |  -          | 1          | modecode(TX)   
2      | 31(B)      |  -          | 1          | modecode(TX)  
3      | 31 (A)     | 29          | 2          | Broadcast   
4      | 31(B)      | 29          | 2          | Broadcast   
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 22         | 1           | 30         | RX   
8      | 25/26      | 4           | 24         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 21         | 1           | 26         | RX   
11     | 22         | 1           | 26         | RX   
12     | 25/26      | 3           | 11         | RX   
13     | 11         | 1           | 14         | RX   
14     | 25         | 2           | 5          | RX   
15     | 25/26      | 12          | 25         | RX   
16     | 5          | 2           | 4          | TX   
17     | 7          | 5           | 32         | RX   
18     | 25/26      | 1           | 24         | TX   
19     | 26         | 5           | 1          | TX   
20     | 25/26      | 12          | 14         | RX   
21     | 7          | 1           | 7          | TX   
22     | 26         | 9           | 10         | RX   
23     | 15         | 6           | 4          | RX   
24     | 25/26      | 14          | 14         | RX   
25     | 15         | 2           | 24         | RX   
26     | 7          | 2           | 29         | RX   
27     | 25/26      | 10          | 32         | TX   
28     | 5          | 1           | 8          | RX   
29     | 10         | 7           | 1          | RX   
30     | 21         | 2           | 21         | RX   
31     | 25/26      | 15          | 14         | RX   
32     | 7          | 1           | 17         | RX   
33     | 10         | 1           | 16         | RX   
34     | 25/26      | 2           | 11         | TX   
35     | 5          | 11          | 4          | TX   
36     | 7          | 11          | 4          | TX   
37     | 25         | 7           | 16         | RX   
38     | 25         | 26          | 16         | RX   
39     | 25/26      | 18          | 10         | TX   
40     | 25/26      | 19          | 10         | TX   
41     | 26         | 5           | 1          | RX   
42     | 15 (A)     |   -         |  -         | modecode(TX)   
43     | 15 (B)     |   -         |  -         | modecode(TX)   

============================================================

================ FRAME 1 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |  -          | 1          | modecode(TX)   
2      | 31 (B)     |   -         | 1          | modecode(TX)   
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 25/26      | 4           | 24         | RX   
8      | 22         | 1           | 30         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 16         | 3           | 5          | RX   
11     | 15         | 1           | 24         | RX   
12     | 6          | 8           | 27         | RX   
13     | 25/26      | 3           | 11         | RX   
14     | 11         | 1           | 14         | RX   
15     | 7          | 4           | 32         | RX   
16     | 21         | 6           | 1          | TX   
17     | 22         | 6           | 1          | TX   
18     | 25/26      | 11          | 6          | RX   
19     | 11         | 3           | 2          | TX   
20     | 7          | 5           | 32         | RX   
21     | 5          | 2           | 32         | RX   
22     | 13         | 7           | 12         | RX   
23     | 16         | 2           | 32         | TX   
24     | 15         | 1           | 19         | TX   
25     | 6          | 15          | 26         | TX   
26     | 25/26      | 8           | 27         | RX   
27     | 15,13      |TXSA-5,RXSA-9| 4          | RT-RT   
28     | 7          | 1           | 7          | TX   
29     | 7          | 2           | 29         | RX   
30     | 25/26      | 10          | 27         | RX   
31     | 10         | 7           | 1          | RX   
32     | 22         | 2           | 21         | RX   
33     | 7          | 1           | 17         | RX   
34     | 13,15      |TXSA-13,RXSA-3| 24         | RT-RT
